car_id,timestamp,x,y,state,lane
1,2024-02-11T21:30:46.782121+03:00,664.73486,389.7046,UNKNOWN,R1
2,2024-02-11T21:30:46.782121+03:00,776.2334,422.69376,UNKNOWN,R3
3,2024-02-11T21:30:46.782121+03:00,700.6715,690.0436,UNKNOWN,R1
4,2024-02-11T21:30:46.782121+03:00,717.8162,409.80725,UNKNOWN,R2
5,2024-02-11T21:30:46.782121+03:00,743.39685,335.37738,UNKNOWN,R3
6,2024-02-11T21:30:46.782121+03:00,741.40955,364.79364,UNKNOWN,R3
7,2024-02-11T21:30:46.782121+03:00,666.23267,357.1323,UNKNOWN,R1
8,2024-02-11T21:30:46.782121+03:00,699.37933,330.3368,UNKNOWN,R2
9,2024-02-11T21:30:46.782121+03:00,558.70483,316.33047,UNKNOWN,L2
10,2024-02-11T21:30:46.782121+03:00,535.848,317.0959,UNKNOWN,L1
11,2024-02-11T21:30:46.782121+03:00,667.87396,323.20026,UNKNOWN,R1
12,2024-02-11T21:30:46.782121+03:00,695.85535,302.07172,UNKNOWN,R2
1,2024-02-11T21:30:46.815483+03:00,664.5239,387.55243,UP,R1
2,2024-02-11T21:30:46.815483+03:00,775.2837,421.0406,UP,R3
3,2024-02-11T21:30:46.815483+03:00,699.95764,682.60364,UP,R1
4,2024-02-11T21:30:46.815483+03:00,717.0633,408.05652,UP,R2
5,2024-02-11T21:30:46.815483+03:00,742.2615,333.03442,UP,R3
6,2024-02-11T21:30:46.815483+03:00,740.7632,364.14252,UP,R3
7,2024-02-11T21:30:46.815483+03:00,666.5664,355.31693,UP,R1
8,2024-02-11T21:30:46.815483+03:00,698.8265,329.44165,UP,R2
9,2024-02-11T21:30:46.815483+03:00,558.4595,316.46277,DOWN,L2
10,2024-02-11T21:30:46.815483+03:00,535.28033,317.44788,DOWN,L1
11,2024-02-11T21:30:46.815483+03:00,667.4763,321.89307,UP,R1
12,2024-02-11T21:30:46.815483+03:00,695.7612,302.37112,DOWN,R2
1,2024-02-11T21:30:46.848845+03:00,664.2954,385.6092,UP,R1
2,2024-02-11T21:30:46.848845+03:00,774.5545,419.45074,UP,R3
3,2024-02-11T21:30:46.848845+03:00,699.39026,676.22,UP,R1
4,2024-02-11T21:30:46.848845+03:00,716.07983,406.7173,UP,R2
5,2024-02-11T21:30:46.848845+03:00,742.78015,333.74084,DOWN,R3
6,2024-02-11T21:30:46.848845+03:00,740.3626,363.3105,UP,R3
7,2024-02-11T21:30:46.848845+03:00,666.6097,353.86078,UP,R1
8,2024-02-11T21:30:46.848845+03:00,698.16565,328.7336,UP,R2
9,2024-02-11T21:30:46.848845+03:00,558.1758,316.62048,DOWN,L2
10,2024-02-11T21:30:46.848845+03:00,534.5363,318.30017,DOWN,L1
11,2024-02-11T21:30:46.848845+03:00,667.32007,320.84042,UP,R1
12,2024-02-11T21:30:46.848845+03:00,696.00635,301.84546,UP,R2
1,2024-02-11T21:30:46.882207+03:00,664.32544,383.5871,UP,R1
2,2024-02-11T21:30:46.882207+03:00,773.85406,417.0514,UP,R3
3,2024-02-11T21:30:46.882207+03:00,698.52234,663.9911,UP,R1
4,2024-02-11T21:30:46.882207+03:00,715.59467,404.82547,UP,R2
5,2024-02-11T21:30:46.882207+03:00,743.0766,333.92145,DOWN,R3
6,2024-02-11T21:30:46.882207+03:00,739.66254,362.1448,UP,R3
7,2024-02-11T21:30:46.882207+03:00,666.55786,352.8914,UP,R1
8,2024-02-11T21:30:46.882207+03:00,697.6809,327.57874,UP,R2
9,2024-02-11T21:30:46.882207+03:00,557.8828,316.78058,DOWN,L2
10,2024-02-11T21:30:46.882207+03:00,533.7306,318.84515,DOWN,L1
11,2024-02-11T21:30:46.882207+03:00,666.90173,319.69135,UP,R1
12,2024-02-11T21:30:46.882207+03:00,695.78314,300.896,UP,R2
1,2024-02-11T21:30:46.915569+03:00,664.48267,382.10706,UP,R1
2,2024-02-11T21:30:46.915569+03:00,772.7894,415.1504,UP,R3
3,2024-02-11T21:30:46.915569+03:00,696.5014,651.411,UP,R1
4,2024-02-11T21:30:46.915569+03:00,715.0925,402.8241,UP,R2
5,2024-02-11T21:30:46.915569+03:00,741.7273,328.7838,UP,R3
6,2024-02-11T21:30:46.915569+03:00,738.8705,360.5328,UP,R3
7,2024-02-11T21:30:46.915569+03:00,666.76294,351.66595,UP,R1
8,2024-02-11T21:30:46.915569+03:00,697.5902,326.65082,UP,R2
9,2024-02-11T21:30:46.915569+03:00,557.4474,316.9428,DOWN,L2
10,2024-02-11T21:30:46.915569+03:00,532.6594,319.39612,DOWN,L1
11,2024-02-11T21:30:46.915569+03:00,667.20056,318.91177,UP,R1
12,2024-02-11T21:30:46.915569+03:00,696.2356,300.8329,UP,R2
13,2024-02-11T21:30:46.915569+03:00,599.9309,296.44275,UNKNOWN,L3
1,2024-02-11T21:30:46.948931+03:00,664.4069,380.81665,UP,R1
2,2024-02-11T21:30:46.948931+03:00,771.79736,413.42215,UP,R3
3,2024-02-11T21:30:46.948931+03:00,694.8953,639.26904,UP,R1
4,2024-02-11T21:30:46.948931+03:00,714.70825,400.98407,UP,R2
5,2024-02-11T21:30:46.948931+03:00,741.61615,329.6454,DOWN,R3
6,2024-02-11T21:30:46.948931+03:00,738.99,359.49854,UP,R3
7,2024-02-11T21:30:46.948931+03:00,666.6446,350.2304,UP,R1
8,2024-02-11T21:30:46.948931+03:00,697.3766,326.08014,UP,R2
9,2024-02-11T21:30:46.948931+03:00,556.8334,317.27917,DOWN,L2
10,2024-02-11T21:30:46.948931+03:00,531.7288,320.01453,DOWN,L1
11,2024-02-11T21:30:46.948931+03:00,667.4136,318.4369,UP,R1
12,2024-02-11T21:30:46.948931+03:00,696.12146,300.75677,UP,R2
13,2024-02-11T21:30:46.948931+03:00,599.6421,296.36755,UP,L3
1,2024-02-11T21:30:46.982293+03:00,664.65137,378.9781,UP,R1
2,2024-02-11T21:30:46.982293+03:00,770.8014,411.79532,UP,R3
3,2024-02-11T21:30:46.982293+03:00,692.9839,627.4129,UP,R1
4,2024-02-11T21:30:46.982293+03:00,714.3906,399.61356,UP,R2
5,2024-02-11T21:30:46.982293+03:00,741.4964,330.47217,DOWN,R3
6,2024-02-11T21:30:46.982293+03:00,738.92554,358.54327,UP,R3
7,2024-02-11T21:30:46.982293+03:00,666.6833,348.68378,UP,R1
8,2024-02-11T21:30:46.982293+03:00,697.6841,324.94495,UP,R2
9,2024-02-11T21:30:46.982293+03:00,556.40515,317.6462,DOWN,L2
10,2024-02-11T21:30:46.982293+03:00,530.9799,320.6711,DOWN,L1
11,2024-02-11T21:30:46.982293+03:00,667.65186,317.75623,UP,R1
12,2024-02-11T21:30:46.982293+03:00,695.8413,299.37006,UP,R2
13,2024-02-11T21:30:46.982293+03:00,599.4131,296.43173,DOWN,L3
1,2024-02-11T21:30:47.015655+03:00,664.5122,376.9157,UP,R1
2,2024-02-11T21:30:47.015655+03:00,770.12476,410.16962,UP,R3
3,2024-02-11T21:30:47.015655+03:00,691.33307,616.0349,UP,R1
4,2024-02-11T21:30:47.015655+03:00,713.7201,397.64197,UP,R2
5,2024-02-11T21:30:47.015655+03:00,741.5006,329.53473,UP,R3
6,2024-02-11T21:30:47.015655+03:00,738.10803,357.52344,UP,R3
7,2024-02-11T21:30:47.015655+03:00,666.8628,347.38333,UP,R1
8,2024-02-11T21:30:47.015655+03:00,697.9723,325.48083,DOWN,R2
9,2024-02-11T21:30:47.015655+03:00,556.0269,317.8819,DOWN,L2
10,2024-02-11T21:30:47.015655+03:00,530.18506,321.44418,DOWN,L1
11,2024-02-11T21:30:47.015655+03:00,667.8334,317.30023,UP,R1
12,2024-02-11T21:30:47.015655+03:00,696.11414,299.0901,UP,R2
13,2024-02-11T21:30:47.015655+03:00,599.3888,296.69226,DOWN,L3
1,2024-02-11T21:30:47.049017+03:00,664.36743,375.28326,UP,R1
2,2024-02-11T21:30:47.049017+03:00,769.07104,408.66516,UP,R3
3,2024-02-11T21:30:47.049017+03:00,689.8978,605.7688,UP,R1
4,2024-02-11T21:30:47.049017+03:00,713.1173,395.36646,UP,R2
5,2024-02-11T21:30:47.049017+03:00,741.4118,329.27612,UP,R3
6,2024-02-11T21:30:47.049017+03:00,737.26996,356.227,UP,R3
7,2024-02-11T21:30:47.049017+03:00,667.1177,346.3284,UP,R1
8,2024-02-11T21:30:47.049017+03:00,697.9582,324.45618,UP,R2
9,2024-02-11T21:30:47.049017+03:00,555.5541,318.19354,DOWN,L2
10,2024-02-11T21:30:47.049017+03:00,529.26984,322.1844,DOWN,L1
11,2024-02-11T21:30:47.049017+03:00,667.9867,316.25153,UP,R1
12,2024-02-11T21:30:47.049017+03:00,696.0576,298.84735,UP,R2
13,2024-02-11T21:30:47.049017+03:00,599.5348,297.18854,DOWN,L3
1,2024-02-11T21:30:47.082379+03:00,664.09985,373.43042,UP,R1
2,2024-02-11T21:30:47.082379+03:00,768.3109,406.9618,UP,R3
3,2024-02-11T21:30:47.082379+03:00,688.7176,596.26483,UP,R1
4,2024-02-11T21:30:47.082379+03:00,712.40326,393.0025,UP,R2
5,2024-02-11T21:30:47.082379+03:00,741.4592,329.10175,UP,R3
6,2024-02-11T21:30:47.082379+03:00,736.90894,355.0053,UP,R3
7,2024-02-11T21:30:47.082379+03:00,666.89307,345.31543,UP,R1
8,2024-02-11T21:30:47.082379+03:00,697.661,323.93683,UP,R2
9,2024-02-11T21:30:47.082379+03:00,555.0574,318.50812,DOWN,L2
10,2024-02-11T21:30:47.082379+03:00,528.51013,322.43222,DOWN,L1
11,2024-02-11T21:30:47.082379+03:00,668.1057,315.7173,UP,R1
12,2024-02-11T21:30:47.082379+03:00,695.41077,298.3377,UP,R2
13,2024-02-11T21:30:47.082379+03:00,599.49084,297.58124,DOWN,L3
1,2024-02-11T21:30:47.115741+03:00,663.9801,371.65204,UP,R1
2,2024-02-11T21:30:47.115741+03:00,767.5715,405.00494,UP,R3
3,2024-02-11T21:30:47.115741+03:00,687.75745,585.7306,UP,R1
4,2024-02-11T21:30:47.115741+03:00,711.91785,390.90057,UP,R2
5,2024-02-11T21:30:47.115741+03:00,741.2466,328.48633,UP,R3
6,2024-02-11T21:30:47.115741+03:00,736.7386,353.61224,UP,R3
7,2024-02-11T21:30:47.115741+03:00,666.68176,344.46204,UP,R1
8,2024-02-11T21:30:47.115741+03:00,697.38806,324.18176,DOWN,R2
9,2024-02-11T21:30:47.115741+03:00,554.56946,318.74768,DOWN,L2
10,2024-02-11T21:30:47.115741+03:00,527.46313,322.7536,DOWN,L1
11,2024-02-11T21:30:47.115741+03:00,668.3064,314.96222,UP,R1
12,2024-02-11T21:30:47.115741+03:00,695.635,299.10583,DOWN,R2
13,2024-02-11T21:30:47.115741+03:00,599.5374,297.87274,DOWN,L3
1,2024-02-11T21:30:47.149103+03:00,664.21783,369.95117,UP,R1
2,2024-02-11T21:30:47.149103+03:00,766.5797,403.3687,UP,R3
3,2024-02-11T21:30:47.149103+03:00,686.62744,576.73584,UP,R1
4,2024-02-11T21:30:47.149103+03:00,711.841,389.10657,UP,R2
5,2024-02-11T21:30:47.149103+03:00,740.9682,328.04523,UP,R3
6,2024-02-11T21:30:47.149103+03:00,735.81885,352.7599,UP,R3
7,2024-02-11T21:30:47.149103+03:00,666.4629,342.9688,UP,R1
8,2024-02-11T21:30:47.149103+03:00,697.0011,321.5924,UP,R2
9,2024-02-11T21:30:47.149103+03:00,553.9984,319.23193,DOWN,L2
10,2024-02-11T21:30:47.149103+03:00,526.8322,323.29382,DOWN,L1
11,2024-02-11T21:30:47.149103+03:00,668.45667,314.46167,UP,R1
13,2024-02-11T21:30:47.149103+03:00,599.3345,298.35107,DOWN,L3
1,2024-02-11T21:30:47.182465+03:00,663.9619,368.00497,UP,R1
2,2024-02-11T21:30:47.182465+03:00,765.65686,401.66174,UP,R3
3,2024-02-11T21:30:47.182465+03:00,685.7532,568.33655,UP,R1
4,2024-02-11T21:30:47.182465+03:00,711.43744,387.91925,UP,R2
